,Electricity,Income,Water,e_Cooking,e_TV,i_Age,i_Education,i_FamilySize,i_Sex,i_Urbanity,real_index,sw,w,wf
0,95.1873868195,152792.697635,106.028794475,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,0.0,1.0,1,39.37399602499687
2,128.226801802,235772.314768,162.971348216,Cooking_no,TV_yes,age_36_45,Education_College,Size_1,sex_male,Urbanity_Urban,2.0,1.0,1,11.66100183386214
3,108.52537542,176027.534244,124.663643256,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Rural,3.0,1.0,1,64.14357964231951
4,124.282537678,213097.521812,159.576872487,Cooking_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,4.0,1.0,1,63.07484037428429
6,121.951998387,226923.341796,151.819731217,Cooking_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Rural,6.0,1.0,1,5.818107631970424
7,128.43318045,223839.375138,162.98887466600002,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,7.0,1.0,1,70.21021247115522
8,118.436263521,182372.369162,137.31383069999998,Cooking_yes,TV_yes,age_46_55,Education_High_School,Size_3,sex_male,Urbanity_Urban,8.0,1.0,1,58.712699682442576
9,134.58190146799998,275326.419213,193.52562498700001,Cooking_no,TV_yes,age_36_45,Education_College,Size_4,sex_male,Urbanity_Urban,9.0,1.0,1,12.838553669992496
10,145.472630975,291156.432852,213.69218079700002,Cooking_yes,TV_yes,age_66_75,Education_College,Size_3,sex_female,Urbanity_Urban,10.0,1.0,1,48.80604057199592
13,80.6625354585,64126.15603969999,41.5903234094,Cooking_yes,TV_yes,age_46_55,Education_Elementary_School,Size_1,sex_male,Urbanity_Rural,13.0,101.0,1,0.45969429190322586
14,106.867848883,146982.790455,106.79261999299999,Cooking_yes,TV_yes,age_36_45,Education_High_School,Size_1,sex_male,Urbanity_Urban,14.0,1.0,1,2.972595245692789
18,135.813105842,250888.723766,175.139629584,Cooking_yes,TV_yes,age_36_45,Education_College,Size_2,sex_male,Urbanity_Urban,18.0,1.0,1,47.4069652503611
19,101.04322387,150009.48341,99.92518119809999,Cooking_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,19.0,1.0,1,42.23862392812596
20,79.4319693102,69597.8620477,43.5508292837,Cooking_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Rural,20.0,101.0,1,0.1594709175885498
21,133.938755743,279764.635819,199.38879933200002,Cooking_no,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,21.0,1.0,1,9.973925766863392
23,138.504905642,247754.057527,176.54552387,Cooking_yes,TV_yes,age_46_55,Education_College,Size_1,sex_male,Urbanity_Urban,23.0,1.0,1,7.70718862467576
24,115.694697731,208710.85565,153.34550021299998,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,24.0,1.0,1,43.52981415988984
26,122.199078162,198667.861864,147.752927541,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_1,sex_male,Urbanity_Urban,26.0,1.0,1,5.605480131276336
27,118.864742728,210843.990524,140.548358347,Cooking_yes,TV_yes,age_36_45,Education_College,Size_3,sex_male,Urbanity_Rural,27.0,1.0,1,60.10991603884804
28,125.58295739,224120.596225,164.14021113200002,Cooking_no,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,28.0,1.0,1,68.29939777721245
29,129.090473598,233838.570456,174.85541734400002,Cooking_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,29.0,1.0,1,42.1217076550336
30,128.032565487,225732.841649,161.41826749,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_female,Urbanity_Urban,30.0,1.0,1,63.79283689471811
31,145.922714486,278898.741158,200.742263858,Cooking_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,31.0,1.0,1,21.71765378125273
32,95.5646001118,108181.835979,80.2574231465,Cooking_yes,TV_yes,age_36_45,Education_Elementary_School,Size_1,sex_male,Urbanity_Urban,32.0,101.0,1,0.39095502386801684
34,99.5897783689,156945.266516,113.038735276,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Rural,34.0,1.0,1,35.37399602499687
35,129.81399997100002,212738.948486,162.848806158,Cooking_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,35.0,1.0,1,57.07484037428429
38,146.06977609999996,289814.49872,206.982237859,Cooking_yes,TV_yes,age_46_55,Education_College,Size_5,sex_male,Urbanity_Urban,38.0,1.0,1,11.357796605494016
41,134.883254726,260136.49892,187.14204087,Cooking_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,41.0,1.0,1,42.54233734723199
42,140.459869467,255578.497198,179.80578997599997,Cooking_yes,TV_yes,age_36_45,Education_Post_Graduate,Size_4,sex_male,Urbanity_Urban,42.0,1.0,1,17.482012590260428
43,132.506843092,235930.966208,180.62335705099997,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,43.0,1.0,1,8.365656390969612
44,137.370067834,276806.133346,201.26762948599998,Cooking_yes,TV_yes,age_56_65,Education_College,Size_3,sex_male,Urbanity_Urban,44.0,1.0,1,26.71765378125273
45,108.734480367,159531.902836,118.137167408,Cooking_yes,TV_yes,age_36_45,Education_High_School,Size_2,sex_male,Urbanity_Urban,45.0,1.0,1,35.807743968249014
47,120.839501396,217246.48538400003,147.070842999,Cooking_no,TV_yes,age_66_75,Education_College,Size_2,sex_male,Urbanity_Rural,47.0,1.0,1,8.476385008331935
48,126.564958461,231358.93409,176.54734135299995,Cooking_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,48.0,1.0,1,39.1217076550336
50,127.945087461,212384.315549,163.713222987,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_2,sex_male,Urbanity_Urban,50.0,1.0,1,45.440628853832564
52,115.742997125,211335.64444,156.293306564,Cooking_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,52.0,1.0,1,56.07484037428429
53,121.49151431799999,220196.972281,167.163037549,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_3,sex_male,Urbanity_Urban,53.0,1.0,1,60.21021247115522
55,98.2961752639,116099.557427,88.0945826884,Cooking_yes,TV_yes,age_36_45,Education_Elementary_School,Size_2,sex_male,Urbanity_Urban,55.0,101.0,1,0.22610374642422926
56,140.94948772700002,259806.88716,193.21323659400002,Cooking_yes,TV_yes,age_46_55,Education_College,Size_2,sex_male,Urbanity_Urban,56.0,1.0,1,45.54233734723199
57,142.933816621,280681.91672399995,198.80235435400002,Cooking_yes,TV_yes,age_46_55,Education_College,Size_4,sex_male,Urbanity_Urban,57.0,1.0,1,8.884740460806114
59,132.053997649,253443.849832,175.01593965599997,Cooking_no,TV_yes,age_36_45,Education_Post_Graduate,Size_3,sex_female,Urbanity_Urban,59.0,1.0,1,76.58100282362912
61,119.082662701,180868.701246,131.31890347200002,Cooking_yes,TV_yes,age_46_55,Education_Elementary_School,Size_7,sex_male,Urbanity_Urban,61.0,101.0,1,0.025243459470999596
63,138.008317269,277514.766485,202.564955648,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,63.0,1.0,1,41.61471632477402
64,152.443499315,313299.509066,231.930375618,Cooking_yes,TV_yes,age_66_75,Education_Post_Secondary,Size_9,sex_male,Urbanity_Urban,64.0,1.0,1,3.15635323860329
65,112.62031472299999,175337.44730899998,115.509736841,Cooking_yes,TV_yes,age_26_35,Education_High_School,Size_8,sex_male,Urbanity_Rural,65.0,1.0,1,38.40785460086779
66,138.576925384,271989.42367600003,200.59115696400002,Cooking_yes,TV_yes,age_36_45,Education_Post_Secondary,Size_8,sex_male,Urbanity_Urban,66.0,1.0,1,43.479344227903084
67,107.270903966,151617.576424,108.951556905,Cooking_yes,TV_yes,age_36_45,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,67.0,101.0,1,0.041563004686274496
68,112.912470809,194986.907139,143.993899788,Cooking_no,TV_yes,age_36_45,Education_High_School,Size_5,sex_male,Urbanity_Urban,68.0,1.0,1,9.71238853256833
69,104.355108569,157388.48209,116.839461842,Cooking_no,TV_yes,age_46_55,Education_Elementary_School,Size_5,sex_male,Urbanity_Urban,69.0,101.0,1,0.26612040761445144
70,137.475793959,269754.619413,193.769437624,Cooking_yes,TV_yes,age_46_55,Education_College,Size_3,sex_male,Urbanity_Urban,70.0,1.0,1,66.31192096455464
71,132.079094872,238399.179929,180.180497515,Cooking_yes,TV_yes,age_46_55,Education_Post_Secondary,Size_4,sex_female,Urbanity_Urban,71.0,1.0,1,12.365656390969612
