i_Sex,c_i_Sex,i_Urbanity,c_i_Urbanity,i_FamilySize,c_i_FamilySize,i_Age,c_i_Age,i_Education,e_Lighting,c_e_Lighting,e_TV,c_e_TV,e_Cooking,c_e_Cooking,e_Refrigeration,c_e_Refrigeration,e_AC,c_e_AC,e_Urban,c_e_Urban,c_e_Income,c_w_Sex,c_w_Urbanity,c_w_Total_Family_Income,c_w_FamilySize,c_w_Age,w_Education,i_Intercept,c_i_Education,Income__0,e_Intercept,Electricity__0,w_Intercept,c_w_Education,Water__0
0,919.012059036,0,7105.22445663,4,1666.84639522,53.2609555562,116.575897706,2,1,0.825661590942,1,18.7899086369,0,28.8862421461,0,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.495046208,1000.97890777,0.0531870120086,49.7393515183,6.08894188165,3,1147.66399223,11959.091528,184222.569941,3.2999838733,55.5420459966,-601.591950028,260.327274277,127.747862106
0,919.012059036,1,7105.22445663,4,1666.84639522,53.2609555562,116.575897706,2,1,0.825661590942,1,18.7899086369,0,28.8862421461,1,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.495046208,1000.97890777,0.0531870120086,49.7393515183,6.08894188165,2,1147.66399223,11959.091528,234599.29461,3.2999838733,85.8142839064,-601.591950028,260.327274277,173.659260943
1,919.012059036,0,7105.22445663,4,1666.84639522,53.2609555562,116.575897706,3,1,0.825661590942,1,18.7899086369,0,28.8862421461,0,59.2432357338,1,203.322615455,1,24.5934998764,0.00142606675157,98.495046208,1000.97890777,0.0531870120086,49.7393515183,6.08894188165,0,1147.66399223,18727.4606703,238726.841913,3.2999838733,110.193509189,-601.591950028,101.70283943,162.45078462
0,919.012059036,1,7105.22445663,5,1666.84639522,53.2609555562,116.575897706,2,1,0.825661590942,1,18.7899086369,0,28.8862421461,1,59.2432357338,0,203.322615455,1,24.5934998764,0.00142606675157,98.495046208,1000.97890777,0.0531870120086,49.7393515183,6.08894188165,0,1147.66399223,11959.091528,246417.395844,3.2999838733,89.0915128057,-601.591950028,260.327274277,182.120947837
0,918.94889729,0,7105.34280873,5,1667.00737691,53.2636571816,116.580984498,0,1,0.825614985183,1,18.7904212465,0,28.8830497462,0,59.2442167063,0,203.325815463,1,24.5938675586,0.00146112613476,98.4901470755,1000.93798265,0.0531368783367,49.7388787092,6.08886111898,2,1147.66399223,1.0,111266.513159,3.2999838733,36.0695500306,-601.591950028,1.0,73.3981904995
0,917.663829154,1,7114.19976627,4,1668.65178033,53.2831380431,116.71490376,0,1,0.823700343481,1,18.7714431492,0,28.8715790376,1,59.2121063954,1,203.149265959,1,24.5609662489,0.0014809979316,98.6533860523,1003.34321447,0.0526207605825,49.7134763301,6.08394081197,1,1147.66399223,1.0,150000.961607,3.2999838733,103.443974245,-601.591950028,1.0,110.001010829
0,917.779964751,0,7113.35490208,3,1669.18322686,53.3078157064,116.820378301,1,1,0.821724078016,1,18.7613002906,0,28.8722608684,1,59.2507776216,0,202.978726287,1,24.5539248548,0.00148409339329,98.6359846505,1003.73560806,0.0528774146848,49.685838802,6.08360158881,3,1147.66399223,6023.86254599,130503.964355,3.2999838733,53.6333960642,-601.591950028,214.401145313,87.1591345645
0,917.257366363,1,7115.38500495,3,1667.83860886,53.3164212722,116.88390328,0,1,0.822190261057,1,18.7662391485,0,28.8692415508,0,59.2578600937,0,202.959219565,1,24.5814148909,0.00148612114595,98.50244725,1003.45714715,0.0530228535396,49.7350144529,6.08426283798,1,1147.66399223,1.0,138252.594572,3.2999838733,49.1835014497,-601.591950028,1.0,102.367342937
1,915.094074478,1,7090.81788987,4,1672.85336558,53.3380028388,116.986149392,0,1,0.823611935415,1,18.7978314848,0,28.7781846499,1,59.3231121538,0,202.524755221,1,24.5933339992,0.00147050213382,98.9721688394,1001.66113266,0.0530278393221,49.6171192809,6.058761365,3,1147.66399223,1.0,156590.424513,3.2999838733,65.5516565598,-601.591950028,1.0,116.31797274
0,914.187719031,0,7120.33118347,4,1664.26488294,53.2337072359,117.187924458,0,1,0.814391865182,1,18.7735685237,0,28.7853386435,0,59.4940330336,0,202.718669231,1,24.7025704119,0.0013852220433,99.3003331082,1002.67902756,0.0526834491872,49.6551803792,6.06058942935,0,1147.66399223,1.0,99573.815253,3.2999838733,31.2722191632,-601.591950028,1.0,64.4385725376
